HD	HM	HY  	GD	GM	GY
1	3	1433	24	1	2012
1	4	1433	23	2	2012
1	5	1433	23	3	2012
1	6	1433	22	4	2012
1	7	1433	22	5	2012
1	8	1433	21	6	2012
1	9	1433	20	7	2012
1	10	1433	19	8	2012
1	11	1433	17	9	2012
1	12	1433	16	10	2012
1	1	1434	15	11	2012
1	2	1434	14	12	2012
1	3	1434	13	1	2013
1	4	1434	11	2	2013
1	5	1434	13	3	2013
1	6	1434	11	4	2013
1	7	1434	11	5	2013
1	8	1434	10	6	2013
1	9	1434	9	7	2013
1	10	1434	8	8	2013
1	11	1434	7	9	2013
1	12	1434	6	10	2013
1	1	1435	4	11	2013
1	2	1435	4	12	2013
1	3	1435	2	1	2014
1	4	1435	1	2	2014
1	5	1435	2	3	2014
1	6	1435	1	4	2014
1	7	1435	30	4	2014
1	8	1435	30	5	2014
1	9	1435	28	6	2014
1	10	1435	28	7	2014
1	11	1435	27	8	2014
1	12	1435	25	9	2014
1	1	1436	25	10	2014
1	2	1436	24	11	2014
1	3	1436	23	12	2014
1	4	1436	22	1	2015
1	5	1436	20	2	2015
1	6	1436	21	3	2015
1	7	1436	20	4	2015
1	8	1436	19	5	2015
1	9	1436	18	6	2015
1	10	1436	17	7	2015
1	11	1436	16	8	2015
1	12	1436	15	9	2015
1	1	1437	14	10	2015
1	2	1437	13	11	2015
1	3	1437	12	12	2015
1	4	1437	11	1	2016
1	5	1437	10	2	2016
1	6	1437	10	3	2016
1	7	1437	8	4	2016
1	8	1437	8	5	2016
1	9	1437	6	6	2016
1	10	1437	5	7	2016
1	11	1437	4	8	2016
1	12	1437	3	9	2016
1	1	1438	2	10	2016
1	2	1438	1	11	2016
1	3	1438	1	12	2016
1	4	1438	30	12	2016
1	5	1438	29	1	2017
1	6	1438	28	2	2017
1	7	1438	29	3	2017
1	8	1438	27	4	2017
1	9	1438	27	5	2017
1	10	1438	25	6	2017
1	11	1438	24	7	2017
1	12	1438	23	8	2017
1	1	1439	21	9	2017
1	2	1439	21	10	2017
1	3	1439	19	11	2017
1	4	1439	19	12	2017
1	5	1439	18	1	2018
1	6	1439	17	2	2018
1	7	1439	19	3	2018
1	8	1439	17	4	2018
1	9	1439	16	5	2018
1	10	1439	15	6	2018
1	11	1439	14	7	2018
1	12	1439	12	8	2018
1	1	1440	11	9	2018
1	2	1440	10	10	2018
1	3	1440	9	11	2018
1	4	1440	8	12	2018
1	5	1440	7	1	2019
1	6	1440	6	2	2019
1	7	1440	8	3	2019
1	8	1440	6	4	2019
1	9	1440	6	5	2019
1	10	1440	4	6	2019
1	11	1440	4	7	2019
1	12	1440	2	8	2019
1	1	1441	31	8	2019
1	2	1441	30	9	2019
1	3	1441	29	10	2019
1	4	1441	28	11	2019
1	5	1441	27	12	2019
1	6	1441	26	1	2020
1	7	1441	25	2	2020
1	8	1441	25	3	2020
1	9	1441	24	4	2020
1	10	1441	24	5	2020
1	11	1441	22	6	2020
1	12	1441	22	7	2020
1	1	1442	20	8	2020
1	2	1442	18	9	2020
1	3	1442	18	10	2020
1	4	1442	16	11	2020
1	5	1442	16	12	2020
1	6	1442	14	1	2021
1	7	1442	13	2	2021
1	8	1442	14	3	2021
1	9	1442	13	4	2021
1	10	1442	13	5	2021
1	11	1442	11	6	2021
1	12	1442	11	7	2021
1	1	1443	9	8	2021
1	2	1443	8	9	2021
1	3	1443	7	10	2021
1	4	1443	6	11	2021
1	5	1443	5	12	2021
1	6	1443	4	1	2022
1	7	1443	2	2	2022
1	8	1443	4	3	2022
1	9	1443	2	4	2022
1	10	1443	2	5	2022
1	11	1443	31	5	2022
1	12	1443	30	6	2022
1	1	1444	30	7	2022
1	2	1444	28	8	2022
1	3	1444	27	9	2022
1	4	1444	27	10	2022
1	5	1444	25	11	2022
1	6	1444	24	12	2022
